chunk_id,page,content
Principles-of-Managerial-Accounting-profitability::chunk_1,1,"Principles of Managerial
Accounting"
Principles-of-Managerial-Accounting-profitability::chunk_2,4,"Principles of Managerial Accounting Copyright © 2020 by Dr. Patricia Goedl
is licensed under a Creative Commons Attribution 4.0 International License,
except where otherwise noted."
Principles-of-Managerial-Accounting-profitability::chunk_3,5,"CONTENTS
Introduction 1
How to Use This Video Textbook 3
About the Author iv
Acknowledgements vi"
Principles-of-Managerial-Accounting-profitability::chunk_4,6,"Part I. Main Body
1. Managerial Accounting and Cost
Concepts
Managerial accounting versus financial
accounting LO1
11
Cost classification: Product or period LO2 12
Cost behavior: Variable, fixed, and mixed
LO3
17
Relevant range of production LO4 22
Predicting mixed costs LO5 23
Y = a + bx 25
Traditional versus contribution margin
income statement LO6
31
Traditional income statement LO7 32
Contribution margin income statement
LO8
38
Practice Video Problems 44
Review Questions 50
Homework Questions 53
9"
Principles-of-Managerial-Accounting-profitability::chunk_5,7,"2. Job-order Costing
Job-order costing LO1 61
Job-order costing flow of inventory costs
LO2
63
Predetermined manufacturing overhead
rate LO3
70
Applying manufacturing overhead to
jobs LO4
75
Job cost sheets LO5 78
Multiple predetermined manufacturing
overhead rates LO6
81
Practice Video Problems 86
Review Questions 94
Homework Questions 98
59
3. Process Costing
Process costing 103
102"
Principles-of-Managerial-Accounting-profitability::chunk_6,8,"4. Cost Volume Profit (CVP) Analysis
Purposes of cost volume profit (CVP)
analysis LO1
106
CVP analysis using the contribution
margin income statement LO2
108
CVP analysis when sales quantity
changes LO3
111
CVP analysis and changes on net
operating income LO3
115
Break even point and target profit LOs
4,5
124
Practice Video Problems 128
Review Questions 134
Homework Questions 136
104"
Principles-of-Managerial-Accounting-profitability::chunk_7,9,"5. Segmented Income Reporting
Purposes of segmented income
reporting LO1
140
Prepare a segmented income statement
LO2
145
Contribution margin and segment
margin LO3
147
Fixed costs and the segmented income
statement LO4
149
Organizational segments within
segments LO5
152
Segment cost volume profit (CVP)
analysis LO6
154
Breakeven calculations for segmented
income reporting LO7
157
Practice Video Problems 161
Review Questions 167
Homework Questions 169
138"
Principles-of-Managerial-Accounting-profitability::chunk_8,10,"6. Budgeting
Purposes of budgeting LO1 176
Master budget LO2 178
Sales budget LO3 181
Production budget LO4 185
Direct materials purchases budget LO5 189
Direct labor budget LO6 195
Manufacturing overhead budget LO7 198
Cost of goods sold budget LO8 202
Selling and administrative expenses
budget LO9
205
Budgeted income statement LO10 209
Practice Video Problems 212
Review Questions 222
Homework Questions 224
174"
Principles-of-Managerial-Accounting-profitability::chunk_9,11,"7. Flexible Budgeting and Performance
Evaluation
Planning budgets LO1 231
Prepare a planning budget LO2 233
Limitations of planning budgets LO3 240
Prepare a flexible budget LO4 244
Prepare a flexible budget performance
evaluation report LOs 5,6,7
250
Practice Video Problems 258
Review Questions 266
Homework Questions 268
229"
Principles-of-Managerial-Accounting-profitability::chunk_10,12,"8. Standard Costs and Variance Analysis
Purpose of standard costs LO1 274
Direct materials variances LO2 283
Direct labor variances LO3 292
Variable manufacturing overhead
variances LO4
300
Standard costs variance analysis and
evaluation
310
Standard costs variance template 311
Practice Video Problems 312
Review Questions 319
Homework Questions 321
272"
Principles-of-Managerial-Accounting-profitability::chunk_11,13,"9. Decentralized Performance Evaluation
Organizational structure LO1 326
Responsibility centers and performance
evaluation LO2
329
Investment centers and performance
evaluation LO3
333
Advantages and disadvantages of return
on investment (ROI) LO4
344
Social return on investment (SROI) LO5 349
Residual income LO6 352
Practice Video Problems 358
Review Questions 362
Homework 365
324"
Principles-of-Managerial-Accounting-profitability::chunk_12,14,"10. Differential Decision Making
Differential decision making LO1 370
Relevant and irrelevant costs of
differential decision making LO2
372
Add or drop a segment LO3 376
Make or buy (outsourcing) LO4 388
Special order LO5 394
Sell or process further LO6 400
Practice Video Problems 407
Review Questions 415
Homework Questions 417
369"
Principles-of-Managerial-Accounting-profitability::chunk_13,15,"11. Capital Budgeting Decision Making
Capital budgeting decision making 422
Payback period LO1 423
Simple rate of return LO2 428
Time value of money LO3 433
Internal rate of return LO4 436
Net present value method (NPV) LO5 442
Analyzing capital budgeting decision
making methods LO6
450
Practice Video Problems 452
Review Questions 457
Homework Questions 459
420
Appendix A: Present Value Tables 463
Glossary
Glossary
464"
