query_id,query,category,key_points,source_page,source_chunk_ids
PMGEN_001,"What's actually the difference between a product cost and a period cost, and why does it matter?",cost_accounting,"product costs: tied to purchasing/producing inventory, capitalized as an asset;period costs: all other costs necessary to sustain the organization, expensed as incurred;the distinction determines when the cost hits the income statement",12,Principles-of-Managerial-Accounting-profitability::chunk_29
PMGEN_002,"For a manufacturer, what three categories make up product costs?",cost_accounting,"three categories: direct materials, direct labor, manufacturing overhead;direct materials/labor = easily and economically traceable to the product;manufacturing overhead = all other indirect manufacturing costs",14,Principles-of-Managerial-Accounting-profitability::chunk_33
PMGEN_003,"How does cost behavior differ between variable, fixed, and mixed costs?",cost_accounting,"variable cost: constant per unit, total changes with quantity;fixed cost: constant in total, per-unit cost changes with quantity;mixed cost: has both a variable and a fixed component",17-18,Principles-of-Managerial-Accounting-profitability::chunk_38;Principles-of-Managerial-Accounting-profitability::chunk_39
PMGEN_004,"What exactly counts as manufacturing overhead, and what are some examples?",cost_accounting,"definition: indirect manufacturing costs that are neither direct material nor direct labor;examples of indirect materials: glue, nails, sandpaper;examples of indirect labor: supervisor's salary, quality control;other examples: rent, utilities, taxes on the production facility",14,Principles-of-Managerial-Accounting-profitability::chunk_33;Principles-of-Managerial-Accounting-profitability::chunk_34
PMGEN_005,Walk me through how costs flow through the inventory accounts in a job-order costing system.,cost_accounting,"four accounts: Raw Materials, Manufacturing Overhead, Work in Process, Finished Goods;direct materials/labor go into Work in Process; indirect materials/labor go into Manufacturing Overhead;overhead applied to WIP via predetermined rate;finished jobs move WIP -> Finished Goods -> Cost of Goods Sold upon sale",64-67,Principles-of-Managerial-Accounting-profitability::chunk_94;Principles-of-Managerial-Accounting-profitability::chunk_95;Principles-of-Managerial-Accounting-profitability::chunk_96;Principles-of-Managerial-Accounting-profitability::chunk_98;Principles-of-Managerial-Accounting-profitability::chunk_99;Principles-of-Managerial-Accounting-profitability::chunk_100
PMGEN_006,What kind of businesses typically use job-order costing instead of process costing?,cost_accounting,job-order costing fits unique/custom products or services;example given: home construction company;costs are assigned directly to each individual job,61-62,Principles-of-Managerial-Accounting-profitability::chunk_90;Principles-of-Managerial-Accounting-profitability::chunk_91
PMGEN_007,How do you compute an organization-wide predetermined overhead rate?,cost_accounting,"formula: total estimated overhead / total estimated allocation base;common allocation bases: direct labor hours, machine hours, direct labor dollars, direct materials dollars;computed at the start of the period, applied throughout the year based on actual usage",71,Principles-of-Managerial-Accounting-profitability::chunk_105;Principles-of-Managerial-Accounting-profitability::chunk_106
PMGEN_008,"When materials are requisitioned for production, how are direct materials and indirect materials recorded differently?",cost_accounting,direct materials -> debited to Work in Process;indirect materials -> debited to Manufacturing Overhead;distinction is based on traceability to the specific product,64,Principles-of-Managerial-Accounting-profitability::chunk_94;Principles-of-Managerial-Accounting-profitability::chunk_95
PMGEN_009,What five factors does CVP analysis help managers understand the effect of on profit?,cvp_analysis,"the five factors: selling prices, sales volume, unit variable costs, total fixed costs, mix of products sold;used to estimate the effect of changes in these factors on profit",106-107,Principles-of-Managerial-Accounting-profitability::chunk_143;Principles-of-Managerial-Accounting-profitability::chunk_145
PMGEN_010,Why is the contribution margin income statement so central to CVP analysis?,cvp_analysis,"contribution margin income statement classifies costs by behavior (variable vs. fixed);traditional income statement classifies costs as product or period instead;this classification is essential for estimating how profit responds to changes in price, volume, costs, or mix",32-109,Principles-of-Managerial-Accounting-profitability::chunk_60;Principles-of-Managerial-Accounting-profitability::chunk_146;Principles-of-Managerial-Accounting-profitability::chunk_147
PMGEN_011,How do I calculate contribution margin per unit and the contribution margin ratio?,cvp_analysis,CM per unit = sales price per unit - variable cost per unit;CM ratio = contribution margin in dollars / sales revenue in dollars;both are used in break-even and target profit formulas,124-125,Principles-of-Managerial-Accounting-profitability::chunk_170;Principles-of-Managerial-Accounting-profitability::chunk_169
PMGEN_012,What's meant by 'cost structure' in a CVP context?,cvp_analysis,definition: the type and proportion of fixed vs. variable costs relative to total costs;central to what CVP analysis evaluates,106,Principles-of-Managerial-Accounting-profitability::chunk_143
PMGEN_013,"What exactly is a master budget, and why does the sales budget come first?",budgeting,"master budget: collection of interrelated budgets covering sales, production, profit, financial position;sales budget goes first because it drives production, staffing, and facility decisions;budgets must be completed in a specific order because they feed into each other",178-179,Principles-of-Managerial-Accounting-profitability::chunk_231;Principles-of-Managerial-Accounting-profitability::chunk_232
