query_id,query,category,key_points,source_page,source_chunk_ids
CGGEN_001,How should I use frameworks like Porter's Five Forces or the 3Cs in a case interview so I don't sound like I'm just reciting them?,problem_structuring,"frameworks are scaffolding, not a script to recite;interviewer evaluates adaptation to the specific case, not correct recall;examples: Porter's Five Forces, Three Cs, Four Ps, profitability trees, market-entry structures;framework is a window into organized thinking, not the thing being scored",4,ConsultingCaseGuide-PPML::chunk_11;ConsultingCaseGuide-PPML::chunk_12
CGGEN_002,What's the difference between reciting a framework correctly and actually using it well in an interview?,problem_structuring,"correct recitation is not graded;adapting the framework to the specific case is what's evaluated;the goal is recognizing the problem type and adjusting the tool, not memorization",4-12,ConsultingCaseGuide-PPML::chunk_12;ConsultingCaseGuide-PPML::chunk_28
CGGEN_003,"Which frameworks are most commonly used to start structuring a case, according to the guide?",problem_structuring,"lists: Porter's Five Forces, Three Cs, Four Ps, profitability trees, market-entry structures;purpose is to give a problem initial shape;not meant to be applied mechanically",4,ConsultingCaseGuide-PPML::chunk_11
CGGEN_004,"According to the guide's glossary, what exactly is a framework?",problem_structuring,"definition: structured approach used to give a problem initial shape;examples cited: Porter's Five Forces, Three Cs, Four Ps;explicitly 'adapted rather than recited'",26,ConsultingCaseGuide-PPML::chunk_63
CGGEN_005,How should I structure my answer when I finally give my recommendation to the interviewer?,communication,"lead with the conclusion, then reasoning/evidence, then data;mirrors the four-part recommendation structure (answer, evidence, risks, next steps);avoid the common habit of giving reasons before stating the recommendation",7-24,ConsultingCaseGuide-PPML::chunk_19;ConsultingCaseGuide-PPML::chunk_27;ConsultingCaseGuide-PPML::chunk_57
CGGEN_006,Why do interviewers prefer candidates to lead with the conclusion rather than walk through their reasoning first?,communication,"senior audiences want the bottom line first, details on request;makes the candidate sound in control of the material;keeps the logic visible for the interviewer rather than burying it in findings",7,ConsultingCaseGuide-PPML::chunk_19
CGGEN_007,What's the connection between being concise in a case interview and the Pyramid Principle?,communication,conclusion-first structure reduces repetition;makes candidates sound organized automatically;connects directly to the 'being concise' guidance in the communication chapter,22,ConsultingCaseGuide-PPML::chunk_53;ConsultingCaseGuide-PPML::chunk_54
CGGEN_008,"How does the guide's glossary define the Pyramid Principle, and where does the underlying idea come from?",communication,"definition: leads with conclusion, then supporting arguments, then data;attributed to Barbara Minto's 'The Pyramid Principle: Logic in Writing and Thinking'",27-29,ConsultingCaseGuide-PPML::chunk_65;ConsultingCaseGuide-PPML::chunk_68
CGGEN_009,My interviewer just told me the client's profits are down. How should I start structuring the problem?,problem_structuring,"split profit into revenue and cost;revenue breaks into price, volume, mix; cost breaks into fixed and variable;don't apply as a fixed checklist -- follow the evidence (could be external/competition or internal/inefficiency);goal is understanding why profit moved, not just where",12,ConsultingCaseGuide-PPML::chunk_28;ConsultingCaseGuide-PPML::chunk_29
CGGEN_010,What are the sub-drivers under revenue and under cost in a profitability tree?,problem_structuring,"revenue sub-drivers: price, volume, mix;cost sub-drivers: fixed, variable",12,ConsultingCaseGuide-PPML::chunk_29
