query_id,query,answer,category,source_document,source_page,source_section,source_chunk_ids
CG_001,"What role do frameworks like Porter's Five Forces or the Three Cs play in a case interview, according to the guide?","Frameworks are scaffolding, not a script. Candidates commonly lean on recognizable frameworks (Porter's Five Forces, Three Cs, Four Ps, profitability trees, market-entry structures) to give a problem initial shape, but interviewers evaluate whether the candidate adapts the framework to the actual situation, not whether it was recited correctly.",problem_structuring,ConsultingCaseGuidePPML.pdf,4,1.3 What Case Interviews Evaluate,ConsultingCaseGuide-PPML::chunk_11
CG_002,How does the guide's glossary define a 'Framework'?,"A structured approach (e.g. Porter's Five Forces, the Three Cs, the Four Ps) used to give a problem initial shape, adapted rather than recited.",problem_structuring,ConsultingCaseGuidePPML.pdf,26,9 Glossary,ConsultingCaseGuide-PPML::chunk_63
CG_003,"Why does top-down, conclusion-first communication matter in a consulting context?",Senior audiences want the bottom line first with details available on request; leading with the conclusion makes a candidate sound in control of the material and keeps the underlying logic visible to the interviewer.,communication,ConsultingCaseGuidePPML.pdf,7,2.5 Top-Down Communication,ConsultingCaseGuide-PPML::chunk_18;ConsultingCaseGuide-PPML::chunk_19
CG_004,"How should profit be broken down at the start of a profitability case, per the guide?","Split profit into revenue and cost: revenue further breaks into price, volume, and mix; cost breaks into fixed and variable.",problem_structuring,ConsultingCaseGuidePPML.pdf,12,4.1 Profitability Cases,ConsultingCaseGuide-PPML::chunk_63;ConsultingCaseGuide-PPML::chunk_64
CG_005,Should the revenue/cost profit breakdown be applied as a fixed checklist in every case?,"No. It shouldn't run on autopilot -- depending on the case, the real driver of the profit issue might be external (competition) or internal (inefficiency), and the analysis should follow wherever the evidence points.",problem_structuring,ConsultingCaseGuidePPML.pdf,12,4.1 Profitability Cases,ConsultingCaseGuide-PPML::chunk_29
CG_006,What are the two general directions for building a market sizing estimate?,Some candidates start from the total population and narrow down (top-down); others build up from individual consumption (bottom-up). Either direction works.,quantitative_analysis,ConsultingCaseGuidePPML.pdf,14,4.7 Market Sizing Cases,ConsultingCaseGuide-PPML::chunk_34
CG_007,What quick check should a candidate do right after producing a market size estimate?,"A sanity check: if the resulting number is wildly off from what feels plausible day-to-day, one of the assumptions made along the way was probably wrong.",quantitative_analysis,ConsultingCaseGuidePPML.pdf,16,5.4 Market Sizing Estimation,ConsultingCaseGuide-PPML::chunk_39;ConsultingCaseGuide-PPML::chunk_40
CG_008,What question does break-even analysis answer in a case interview?,How much needs to be sold before revenue covers total cost -- used to test whether a target sales volume is realistic.,quantitative_analysis,ConsultingCaseGuidePPML.pdf,16,5.3 Break-Even Analysis,ConsultingCaseGuide-PPML::chunk_63
CG_009,What matters more in a case than getting the exact break-even number?,"Whether the break-even volume is actually realistic, once demand uncertainty and production/operational capacity are factored in.",quantitative_analysis,ConsultingCaseGuidePPML.pdf,16,5.3 Break-Even Analysis,ConsultingCaseGuide-PPML::chunk_38;ConsultingCaseGuide-PPML::chunk_39
CG_010,What is hypothesis-driven reasoning as described in the guide?,"Forming an early guess about what's causing a problem and then checking that guess against evidence, rather than treating every possible cause as equally worth exploring.",hypothesis_driven,ConsultingCaseGuidePPML.pdf,7,2.3 Hypothesis-Driven Reasoning,ConsultingCaseGuide-PPML::chunk_17
