chunk_id,page,content
ConsultingCaseGuide-PPML::chunk_1,1,"Consulting Case Interview Guide
Theory, Frameworks and Evaluation
Paloma P´ erez de Madrid Laguna
School of Computer Science
University of St Andrews
July 2026"
ConsultingCaseGuide-PPML::chunk_2,2,"Contents
1 Introduction 3
1.1 Purpose of the Guide . . . . . . . . . . . . . . . . . . . . . . . . . 3
1.2 What Is a Consulting Case Interview . . . . . . . . . . . . . . . . 3
1.3 What Case Interviews Evaluate . . . . . . . . . . . . . . . . . . . 4
2 Core Problem-Solving Principles 6
2.1 Structured Thinking . . . . . . . . . . . . . . . . . . . . . . . . . 6
2.2 MECE Thinking . . . . . . . . . . . . . . . . . . . . . . . . . . . 6
2.3 Hypothesis-Driven Reasoning . . . . . . . . . . . . . . . . . . . . 7
2.4 Prioritisation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 7
2.5 Top-Down Communication . . . . . . . . . . . . . . . . . . . . . 7
2.6 Decision-Making Under Uncertainty . . . . . . . . . . . . . . . . 7
3 Case Interview Process 9
3.1 Understanding the Prompt . . . . . . . . . . . . . . . . . . . . . 9"
ConsultingCaseGuide-PPML::chunk_3,2,"3 Case Interview Process 9
3.1 Understanding the Prompt . . . . . . . . . . . . . . . . . . . . . 9
3.2 Clarifying the Objective . . . . . . . . . . . . . . . . . . . . . . . 9
3.3 Restating the Problem . . . . . . . . . . . . . . . . . . . . . . . . 10
3.4 Building an Initial Structure . . . . . . . . . . . . . . . . . . . . . 10
3.5 Driving the Analysis . . . . . . . . . . . . . . . . . . . . . . . . . 10
3.6 Synthesising Along the Way . . . . . . . . . . . . . . . . . . . . . 10
3.7 Giving a Final Recommendation . . . . . . . . . . . . . . . . . . 11
4 Main Case Types 12
4.1 Profitability Cases . . . . . . . . . . . . . . . . . . . . . . . . . . 12
4.2 Market Entry Cases . . . . . . . . . . . . . . . . . . . . . . . . . 12
4.3 Growth Strategy Cases . . . . . . . . . . . . . . . . . . . . . . . . 13
4.4 Pricing Cases . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 13"
ConsultingCaseGuide-PPML::chunk_4,2,"4.4 Pricing Cases . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 13
4.5 Operations Cases . . . . . . . . . . . . . . . . . . . . . . . . . . . 13
4.6 Mergers and Acquisitions Cases . . . . . . . . . . . . . . . . . . . 13
4.7 Market Sizing Cases . . . . . . . . . . . . . . . . . . . . . . . . . 14
5 Quantitative Reasoning 15
5.1 Mental Maths . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 15
5.2 Percentages and Margins . . . . . . . . . . . . . . . . . . . . . . . 15
1"
ConsultingCaseGuide-PPML::chunk_5,3,"5.3 Break-Even Analysis . . . . . . . . . . . . . . . . . . . . . . . . . 16
5.4 Market Sizing Estimation . . . . . . . . . . . . . . . . . . . . . . 16
5.5 Interpreting Numerical Results . . . . . . . . . . . . . . . . . . . 16
5.6 Common Quantitative Mistakes . . . . . . . . . . . . . . . . . . . 17
6 Data Interpretation 18
6.1 Reading Tables and Charts . . . . . . . . . . . . . . . . . . . . . 18
6.2 Identifying Trends . . . . . . . . . . . . . . . . . . . . . . . . . . 19
6.3 Comparing Segments . . . . . . . . . . . . . . . . . . . . . . . . . 19
6.4 Extracting Business Insights . . . . . . . . . . . . . . . . . . . . . 19
6.5 Linking Data to Recommendations . . . . . . . . . . . . . . . . . 20
7 Communication in Case Interviews 21
7.1 Driving the Conversation . . . . . . . . . . . . . . . . . . . . . . 21
7.2 Explaining Assumptions . . . . . . . . . . . . . . . . . . . . . . . 21"
ConsultingCaseGuide-PPML::chunk_6,3,"7.2 Explaining Assumptions . . . . . . . . . . . . . . . . . . . . . . . 21
7.3 Being Concise . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 22
7.4 Handling Hints . . . . . . . . . . . . . . . . . . . . . . . . . . . . 22
7.5 Managing Uncertainty . . . . . . . . . . . . . . . . . . . . . . . . 22
7.6 Executive-Style Communication . . . . . . . . . . . . . . . . . . . 22
8 Final Recommendation 24
8.1 Recommendation Structure . . . . . . . . . . . . . . . . . . . . . 24
8.2 Supporting Evidence . . . . . . . . . . . . . . . . . . . . . . . . . 24
8.3 Risks and Limitations . . . . . . . . . . . . . . . . . . . . . . . . 25
8.4 Next Steps . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 25
8.5 Common Weak Recommendations . . . . . . . . . . . . . . . . . 25
9 Glossary 26
2"
ConsultingCaseGuide-PPML::chunk_7,4,"Chapter 1
Introduction
1.1 Purpose of the Guide
This guide pulls together the main ideas behind how consulting case interviews
are run and judged. It draws on publicly available casebooks, prep materials,
and business writing on the subject, organizing them into something easier to
reference than scattered notes across a dozen sources.
It’s meant for two audiences at once: people preparing for interviews, and AI
systems that need to understand what ”doing well” in a case interview actually
looks like. Knowing how candidates get evaluated is, in itself, useful preparation
— it shifts the focus from memorizing answers to understanding what’s being
watched for.
None of what follows is original theory. It’s a synthesis, arranged for practice
and reference rather than as a scholarly contribution.
1.2 What Is a Consulting Case Interview"
ConsultingCaseGuide-PPML::chunk_8,4,"and reference rather than as a scholarly contribution.
1.2 What Is a Consulting Case Interview
A case interview drops a candidate into a business situation and asks them to
act as the consultant advising on it. That typically means figuring out what the
client actually wants, structuring the problem, asking for the right information,
doing some rough math, and finishing with a recommendation the candidate
can defend [9, 13].
It’s tempting to think of this as a knowledge test, but that’s not quite right.
Interviewers are watching how someone thinks and communicates under pressure
— whether the reasoning holds together, whether the analysis is sharp, whether
the person can explain themselves clearly, and whether they adjust when new
facts come in [9, 13].
Frameworks help here, but only as scaffolding. Treating something like prof-"
ConsultingCaseGuide-PPML::chunk_9,4,"facts come in [9, 13].
Frameworks help here, but only as scaffolding. Treating something like prof-
itability analysis or a market-entry checklist as a script to recite is usually a
mistake; the better candidates bend the tool to fit the case in front of them [10].
3"
ConsultingCaseGuide-PPML::chunk_10,5,"That’s also why reading about cases only gets you so far. Practicing out
loud, walking through the logic verbally, sharpening mental math, and getting
feedback from someone else all matter more than most people expect going in
— the interview itself is a conversation, not a written exam [9, 7].
1.3 What Case Interviews Evaluate
It’s easy to assume the goal is landing on the ”right” answer, but that’s rarely the
point. What firms actually want to see is how a candidate handles an unfamiliar
problem — how they organize information, form and test assumptions, and
communicate where they land. Because most business problems don’t have one
clean answer, several conclusions can be reasonable as long as the logic behind
them holds up [9, 2].
So interviewers watch the thinking more than they compare the final number
to an answer key. Across the conversation, they’re picking up on how fast"
